,Employee Number,Annual Leave Entitlement,entitlement,days taken,difference,Excess
0,20020,24,,,,False
1,20021,18,,,,False
2,20023,24,,,,False
3,20025,24,,,,False
4,20050,24,,,,False
5,20054,21,,,,False
6,20197,24,,,,False
7,20266,24,,,,False
8,20280,12,,,,False
9,20282,12,,,,False
10,20303,24,,,,False
11,20305,12,,,,False
12,20314,21,,,,False
13,20344,21,,,,False
14,20353,18,,,,False
15,20354,18,,,,False
16,20355,18,,,,False
17,20356,18,,,,False
18,20360,18,,,,False
19,20376,18,,,,False
20,20377,18,,,,False
21,20419,12,,,,False
22,20420,18,,,,False
23,20427,24,,,,False
24,20430,18,,,,False
25,20440,12,,,,False
26,20441,18,,,,False
27,20443,24,,,,False
28,20461,24,,,,False
29,20463,24,24.0,42.5,18.5,18.5
30,20466,18,,,,False
31,20469,21,,,,False
32,20498,24,24.0,30.0,6.0,6.0
33,21205,18,,,,False
34,21364,18,,,,False
35,21372,12,12.0,12.5,0.5,0.5
36,21377,12,,,,False
37,21418,18,,,,False
38,21419,18,,,,False
39,21421,24,,,,False
40,21440,18,,,,False
41,21451,21,,,,False
42,21452,18,,,,False
43,21456,18,,,,False
44,21472,12,,,,False
45,22075,21,,,,False
46,22082,21,,,,False
47,23466,24,,,,False
48,23473,24,,,,False
49,23474,18,,,,False
50,23475,24,,,,False
51,23477,24,,,,False
52,23478,24,,,,False
53,23481,24,24.0,27.0,3.0,3.0
54,23482,24,24.0,36.0,12.0,12.0
55,23486,24,,,,False
56,23487,24,,,,False
57,23489,21,,,,False
58,23492,21,,,,False
59,23493,24,,,,False
60,23498,24,,,,False
61,23505,21,,,,False
62,23506,21,,,,False
63,23508,18,,,,False
64,23509,21,,,,False
65,23510,24,,,,False
66,23513,24,,,,False
67,23518,18,,,,False
68,23520,21,,,,False
69,23531,18,,,,False
70,23533,24,,,,False
71,23538,24,,,,False
72,23540,24,,,,False
73,23541,18,,,,False
74,23547,24,,,,False
75,23548,24,,,,False
76,23549,24,,,,False
77,23550,21,,,,False
78,23552,24,,,,False
79,23553,24,,,,False
80,23555,21,,,,False
81,23562,24,,,,False
82,23564,24,,,,False
83,23568,18,,,,False
84,23569,21,,,,False
85,23571,21,21.0,26.0,5.0,5.0
86,23572,21,,,,False
87,23573,18,,,,False
88,23580,21,,,,False
89,23583,18,,,,False
90,23584,21,,,,False
91,23586,18,,,,False
92,23597,18,,,,False
93,23599,18,,,,False
94,23602,21,,,,False
95,23617,12,,,,False
96,23646,24,,,,False
97,23649,24,,,,False
98,23655,24,,,,False
99,23659,24,,,,False
100,23666,24,,,,False
101,23676,24,24.0,39.5,15.5,15.5
102,23680,24,,,,False
103,23681,24,24.0,30.5,6.5,6.5
104,23685,24,,,,False
105,23686,24,,,,False
106,23691,24,,,,False
107,23692,24,,,,False
108,23693,21,,,,False
109,23695,18,,,,False
110,23702,18,,,,False
111,23703,12,,,,False
112,23710,12,,,,False
113,23711,18,,,,False
114,23716,18,,,,False
115,23718,21,21.0,32.0,11.0,11.0
116,23721,18,,,,False
117,23724,18,,,,False
118,23725,12,,,,False
119,23726,18,,,,False
120,23727,12,,,,False
121,23728,18,,,,False
122,23734,12,,,,False
123,23737,18,,,,False
124,23738,18,,,,False
125,23745,18,,,,False
126,23750,18,,,,False
127,23752,12,,,,False
128,23759,12,,,,False
129,23760,12,,,,False
130,23766,12,,,,False
131,23775,24,,,,False
132,23776,18,,,,False
133,23777,24,,,,False
134,23784,18,,,,False
135,23786,24,,,,False
136,23790,12,,,,False
137,23791,24,,,,False
138,23793,24,,,,False
139,23795,12,,,,False
140,30260,21,,,,False
141,30267,18,18.0,20.5,2.5,2.5
142,30287,18,,,,False
143,30587,18,,,,False
144,30756,14,,,,False
145,30859,24,,,,False
146,31779,24,,,,False
147,32467,24,,,,False
148,33529,7,7.0,8.0,1.0,1.0
149,33533,18,,,,False
150,33675,18,,,,False
151,34369,24,,,,False
152,34437,24,,,,False
153,34609,18,,,,False
154,34815,18,,,,False
155,34964,18,,,,False
156,35067,21,,,,False
157,35181,18,,,,False
158,35193,18,,,,False
159,35534,18,18.0,19.0,1.0,1.0
160,35561,18,,,,False
161,35562,18,,,,False
162,36001,18,,,,False
163,36145,12,,,,False
164,36366,18,,,,False
165,36367,7,,,,False
166,36458,7,7.0,8.0,1.0,1.0
167,36462,14,14.0,17.0,3.0,3.0
168,36463,7,,,,False
169,36464,14,,,,False
170,36469,7,7.0,12.0,5.0,5.0
171,36482,7,7.0,14.0,7.0,7.0
172,36487,7,7.0,10.0,3.0,3.0
173,36488,18,,,,False
174,36494,14,,,,False
175,36504,7,,,,False
176,36505,18,18.0,21.0,3.0,3.0
177,36509,14,,,,False
178,36516,14,,,,False
179,36517,18,,,,False
180,36518,18,,,,False
181,36519,14,,,,False
182,36521,7,,,,False
183,36522,18,,,,False
184,36526,7,,,,False
185,36533,7,7.0,10.0,3.0,3.0
186,36544,7,7.0,9.0,2.0,2.0
187,36547,7,,,,False
188,36548,7,7.0,8.0,1.0,1.0
189,36550,7,7.0,10.0,3.0,3.0
190,36555,7,,,,False
191,36558,7,7.0,15.0,8.0,8.0
192,36560,7,,,,False
193,36566,7,7.0,9.0,2.0,2.0
194,36567,7,7.0,12.0,5.0,5.0
195,36568,7,7.0,8.0,1.0,1.0
196,36570,7,7.0,8.0,1.0,1.0
197,36572,14,,,,False
198,36573,7,,,,False
199,36575,7,,,,False
200,36579,7,,,,False
201,36580,7,7.0,10.0,3.0,3.0
202,36583,7,,,,False
203,36585,12,,,,False
204,36586,7,,,,False
205,36587,14,,,,False
206,36591,12,12.0,12.5,0.5,0.5
207,36594,7,7.0,11.0,4.0,4.0
208,36597,18,,,,False
209,36599,12,,,,False
210,36603,7,7.0,8.0,1.0,1.0
211,36605,7,,,,False
212,36609,14,,,,False
213,36610,14,,,,False
214,36612,14,,,,False
215,36614,7,,,,False
216,36615,7,7.0,14.0,7.0,7.0
217,36617,18,18.0,25.0,7.0,7.0
218,36620,7,7.0,12.0,5.0,5.0
219,36625,18,,,,False
220,36627,7,,,,False
221,36629,7,,,,False
222,36630,7,,,,False
223,36633,12,,,,False
224,36637,7,,,,False
225,36638,7,,,,False
226,36640,18,,,,False
227,36641,14,,,,False
228,36642,7,7.0,11.0,4.0,4.0
229,36644,12,,,,False
230,36647,14,,,,False
231,36649,7,7.0,13.0,6.0,6.0
232,36654,7,,,,False
233,36655,7,,,,False
234,36668,14,,,,False
235,36669,14,,,,False
236,36670,18,,,,False
237,36671,7,,,,False
238,36675,18,,,,False
239,36677,12,12.0,15.0,3.0,3.0
240,36682,7,,,,False
241,36683,12,,,,False
242,36684,7,,,,False
243,36685,7,,,,False
244,36693,18,,,,False
245,36698,14,,,,False
246,36700,7,7.0,14.0,7.0,7.0
247,36701,7,,,,False
248,36702,7,,,,False
249,36709,7,,,,False
250,36711,7,,,,False
251,36712,18,,,,False
252,36713,18,,,,False
253,36722,14,,,,False
254,36724,7,,,,False
255,36730,14,,,,False
256,36733,7,,,,False
257,36734,7,,,,False
258,36738,18,,,,False
259,36740,7,,,,False
260,36748,7,7.0,18.0,11.0,11.0
261,36753,7,7.0,9.0,2.0,2.0
262,36755,7,,,,False
263,36757,7,,,,False
264,36758,14,,,,False
265,36763,7,,,,False
266,36765,18,,,,False
267,36766,14,,,,False
268,36769,14,,,,False
269,36770,7,7.0,11.0,4.0,4.0
270,36776,14,,,,False
271,36778,7,7.0,13.0,6.0,6.0
272,36782,7,7.0,13.0,6.0,6.0
273,36783,7,,,,False
274,36789,7,,,,False
275,36794,7,,,,False
276,36795,14,,,,False
277,36796,7,7.0,9.0,2.0,2.0
278,36799,7,7.0,8.0,1.0,1.0
279,36806,18,,,,False
280,36807,7,,,,False
281,36808,7,7.0,14.0,7.0,7.0
282,36819,18,18.0,22.0,4.0,4.0
283,36821,18,18.0,19.5,1.5,1.5
284,36822,18,,,,False
285,36823,7,7.0,11.0,4.0,4.0
286,36827,18,,,,False
287,36829,7,,,,False
288,36833,7,7.0,14.0,7.0,7.0
289,36835,7,7.0,11.0,4.0,4.0
290,36837,7,,,,False
291,36839,18,,,,False
292,36842,7,,,,False
293,36847,14,14.0,16.0,2.0,2.0
294,36849,7,,,,False
295,36854,18,,,,False
296,36856,7,,,,False
297,36859,7,,,,False
298,36862,14,,,,False
299,36865,7,,,,False
300,36870,18,,,,False
301,36872,18,,,,False
302,36873,7,7.0,8.0,1.0,1.0
303,36876,7,,,,False
304,36877,7,,,,False
305,36891,18,,,,False
306,36894,7,7.0,12.0,5.0,5.0
307,36899,7,7.0,15.0,8.0,8.0
308,36901,18,18.0,27.0,9.0,9.0
309,36902,7,,,,False
310,36907,7,,,,False
311,36913,14,,,,False
312,36915,18,,,,False
313,36930,7,7.0,13.0,6.0,6.0
314,36932,7,,,,False
315,36933,7,,,,False
316,36935,7,7.0,9.0,2.0,2.0
317,36942,7,7.0,8.0,1.0,1.0
318,36943,14,,,,False
319,36948,7,,,,False
320,36951,14,,,,False
321,36953,18,18.0,24.0,6.0,6.0
322,36954,14,14.0,21.0,7.0,7.0
323,36955,7,7.0,9.0,2.0,2.0
324,36959,18,,,,False
325,36960,7,,,,False
326,36964,7,,,,False
327,36969,7,,,,False
328,36978,14,14.0,21.0,7.0,7.0
329,36980,7,,,,False
330,36981,7,7.0,11.0,4.0,4.0
331,36983,14,,,,False
332,36984,7,7.0,8.0,1.0,1.0
333,36987,7,7.0,13.0,6.0,6.0
334,36988,14,,,,False
335,36989,14,14.0,15.0,1.0,1.0
336,36990,14,,,,False
337,36992,7,7.0,13.0,6.0,6.0
338,36993,7,7.0,9.0,2.0,2.0
339,36995,18,,,,False
340,36996,14,,,,False
341,36998,12,,,,False
342,37004,7,,,,False
343,37007,18,18.0,19.0,1.0,1.0
344,37020,7,7.0,14.0,7.0,7.0
345,37031,7,7.0,14.0,7.0,7.0
346,37033,7,,,,False
347,37034,14,,,,False
348,37036,7,,,,False
349,37049,14,,,,False
350,37054,18,18.0,31.0,13.0,13.0
351,37057,12,,,,False
352,37058,7,,,,False
353,37065,7,7.0,12.0,5.0,5.0
354,37067,7,,,,False
355,37068,12,,,,False
356,37073,7,,,,False
357,37076,12,12.0,20.0,8.0,8.0
358,37077,7,,,,False
359,37078,7,,,,False
360,37083,18,,,,False
361,37084,14,,,,False
362,37090,7,,,,False
363,37091,14,14.0,17.0,3.0,3.0
364,37093,12,,,,False
365,37099,12,,,,False
366,37102,12,,,,False
367,37105,7,7.0,8.0,1.0,1.0
368,37112,18,,,,False
369,37114,18,,,,False
370,37115,7,7.0,14.0,7.0,7.0
371,37119,7,7.0,15.0,8.0,8.0
372,37127,7,,,,False
373,37128,7,,,,False
374,37129,7,7.0,11.0,4.0,4.0
375,37130,7,,,,False
376,37135,7,7.0,10.0,3.0,3.0
377,37137,18,,,,False
378,37140,7,7.0,11.0,4.0,4.0
379,37151,7,,,,False
380,37154,7,,,,False
381,37155,14,14.0,16.0,2.0,2.0
382,37157,7,,,,False
383,37159,7,7.0,14.0,7.0,7.0
384,37173,7,,,,False
385,37174,7,,,,False
386,37178,7,7.0,10.0,3.0,3.0
387,37179,7,,,,False
388,37182,18,,,,False
389,37183,14,,,,False
390,37188,18,,,,False
391,37192,12,,,,False
392,37203,7,7.0,16.0,9.0,9.0
393,37210,14,14.0,17.0,3.0,3.0
394,37211,18,,,,False
395,37215,7,,,,False
396,37220,18,,,,False
397,37222,7,7.0,10.0,3.0,3.0
398,37230,7,,,,False
399,37237,7,7.0,12.0,5.0,5.0
400,37242,7,7.0,11.0,4.0,4.0
401,37243,7,,,,False
402,37246,7,7.0,12.0,5.0,5.0
403,37248,7,,,,False
404,37251,7,7.0,11.0,4.0,4.0
405,37255,7,7.0,14.0,7.0,7.0
406,37257,18,,,,False
407,37265,7,7.0,10.0,3.0,3.0
408,37270,18,,,,False
409,37277,14,,,,False
410,37279,7,,,,False
411,37283,7,7.0,20.0,13.0,13.0
412,37284,7,,,,False
413,37285,7,,,,False
414,37290,18,,,,False
415,37291,7,,,,False
416,37298,7,,,,False
417,37304,7,7.0,13.0,6.0,6.0
418,37305,7,7.0,14.0,7.0,7.0
419,37311,21,,,,False
420,37313,7,,,,False
421,37314,14,,,,False
422,37321,12,12.0,12.5,0.5,0.5
423,37326,7,7.0,16.0,9.0,9.0
424,37338,7,,,,False
425,37339,7,7.0,9.0,2.0,2.0
426,37342,14,,,,False
427,37343,7,7.0,12.0,5.0,5.0
428,37348,18,,,,False
429,37354,7,,,,False
430,37359,7,,,,False
431,37360,14,14.0,17.0,3.0,3.0
432,37363,7,7.0,17.0,10.0,10.0
433,37366,14,,,,False
434,37369,7,,,,False
435,37372,7,,,,False
436,37377,7,7.0,23.0,16.0,16.0
437,37383,12,12.0,19.0,7.0,7.0
438,37391,7,,,,False
439,37392,14,,,,False
440,37402,7,7.0,10.0,3.0,3.0
441,37403,7,7.0,8.0,1.0,1.0
442,37408,7,7.0,10.0,3.0,3.0
443,37415,7,,,,False
444,37429,7,7.0,9.0,2.0,2.0
445,37433,7,,,,False
446,37440,18,,,,False
447,37441,7,,,,False
448,37448,18,,,,False
449,37454,7,7.0,10.0,3.0,3.0
450,37462,18,,,,False
451,37465,14,14.0,18.0,4.0,4.0
452,37474,12,,,,False
453,37479,7,,,,False
454,37492,7,,,,False
455,37501,12,12.0,16.0,4.0,4.0
456,37511,7,7.0,8.0,1.0,1.0
457,37518,12,12.0,15.0,3.0,3.0
458,37519,18,,,,False
459,37522,18,,,,False
460,37524,7,7.0,14.0,7.0,7.0
461,37540,12,,,,False
462,37562,12,,,,False
463,37563,18,,,,False
464,37564,14,,,,False
465,37565,14,,,,False
466,37568,14,,,,False
467,37569,14,,,,False
468,37570,18,,,,False
469,37571,18,,,,False
470,37576,7,7.0,9.0,2.0,2.0
471,37579,12,12.0,17.0,5.0,5.0
472,37580,7,,,,False
473,37585,7,,,,False
474,37596,7,,,,False
475,37598,7,,,,False
476,37600,7,,,,False
477,37602,7,,,,False
478,37613,7,7.0,12.0,5.0,5.0
479,37615,7,7.0,12.0,5.0,5.0
480,37657,18,,,,False
481,37668,18,18.0,22.0,4.0,4.0
482,37669,7,,,,False
483,37672,12,,,,False
484,37673,7,7.0,8.0,1.0,1.0
485,37686,7,,,,False
486,37698,7,7.0,12.0,5.0,5.0
487,37704,12,12.0,16.0,4.0,4.0
488,37735,12,,,,False
489,37738,14,,,,False
490,37742,14,,,,False
491,37750,18,,,,False
492,37755,18,,,,False
493,37773,14,,,,False
494,37777,14,,,,False
495,37778,18,,,,False
496,37788,12,12.0,15.0,3.0,3.0
497,37790,24,24.0,41.5,17.5,17.5
498,37793,24,,,,False
499,37796,21,,,,False
500,37799,24,,,,False
501,37802,18,,,,False
502,37805,12,12.0,26.5,14.5,14.5
503,37807,24,,,,False
504,37808,18,,,,False
505,37812,18,,,,False
506,37814,21,,,,False
507,37815,18,,,,False
508,37816,24,,,,False
509,37823,21,,,,False
510,37825,21,,,,False
511,37827,18,,,,False
512,37830,18,,,,False
513,37833,14,,,,False
514,37834,12,12.0,13.0,1.0,1.0
515,37835,14,14.0,21.0,7.0,7.0
516,37847,18,,,,False
517,37849,21,,,,False
518,37850,24,,,,False
519,37852,12,,,,False
520,37854,21,,,,False
521,37855,12,,,,False
522,37857,24,,,,False
523,37863,21,,,,False
524,37865,18,,,,False
525,37867,24,,,,False
526,37871,12,,,,False
527,37874,24,,,,False
528,37880,24,,,,False
529,37881,21,,,,False
530,37884,18,,,,False
531,37885,24,24.0,31.5,7.5,7.5
532,37888,18,,,,False
533,37889,18,,,,False
534,37893,12,,,,False
535,37895,18,,,,False
536,37901,18,18.0,18.5,0.5,0.5
537,37902,18,,,,False
538,37903,7,,,,False
539,37904,18,,,,False
540,37905,18,,,,False
541,37906,7,,,,False
542,37909,18,,,,False
543,37911,18,18.0,20.0,2.0,2.0
544,37914,18,,,,False
545,37915,18,,,,False
546,37916,12,12.0,13.5,1.5,1.5
547,37920,14,,,,False
548,37922,18,,,,False
549,37925,14,,,,False
550,37927,24,,,,False
551,37928,24,,,,False
552,37931,21,,,,False
553,37932,12,,,,False
554,37935,21,,,,False
555,37940,12,,,,False
556,37941,21,,,,False
557,37942,21,21.0,24.0,3.0,3.0
558,37943,18,,,,False
559,37944,24,,,,False
560,37945,18,,,,False
561,37947,18,,,,False
562,37949,18,,,,False
563,37951,21,,,,False
564,37952,12,,,,False
565,37955,21,,,,False
566,37956,18,,,,False
567,37959,14,,,,False
568,37961,12,12.0,15.0,3.0,3.0
569,37962,18,,,,False
570,37965,18,,,,False
571,37966,14,,,,False
572,37970,12,,,,False
573,37973,18,,,,False
574,37975,12,,,,False
575,37978,18,,,,False
576,37979,18,,,,False
577,37980,18,,,,False
578,37981,18,18.0,24.0,6.0,6.0
579,37984,12,12.0,21.0,9.0,9.0
580,37985,12,,,,False
581,37987,18,,,,False
582,37989,18,,,,False
583,37991,18,,,,False
584,37992,18,,,,False
585,37993,12,12.0,15.0,3.0,3.0
586,37996,18,,,,False
587,37997,18,,,,False
588,37998,12,,,,False
589,38000,12,,,,False
590,38002,12,12.0,13.0,1.0,1.0
591,38003,18,,,,False
592,38004,18,,,,False
593,38005,18,,,,False
594,38011,18,,,,False
595,38012,12,,,,False
596,38013,18,,,,False
597,38014,18,,,,False
598,38020,18,18.0,21.0,3.0,3.0
599,38022,12,,,,False
600,38033,18,,,,False
601,38034,18,,,,False
602,38036,24,,,,False
603,38039,24,,,,False
604,38040,14,,,,False
605,38041,18,,,,False
606,38042,18,18.0,21.0,3.0,3.0
607,38043,18,,,,False
608,38046,18,,,,False
609,38047,14,,,,False
610,38049,18,,,,False
611,38050,24,,,,False
612,38053,21,,,,False
613,38061,18,,,,False
614,38062,18,,,,False
615,38063,12,,,,False
616,38065,12,,,,False
617,38067,18,,,,False
618,38070,24,,,,False
619,38071,21,,,,False
620,38076,18,,,,False
621,38078,24,,,,False
622,38084,12,,,,False
623,38085,12,12.0,16.0,4.0,4.0
624,38092,14,,,,False
625,38093,21,,,,False
626,38095,12,12.0,13.5,1.5,1.5
627,38097,21,,,,False
628,38098,24,,,,False
629,38101,18,18.0,20.5,2.5,2.5
630,38102,18,,,,False
631,38103,18,,,,False
632,38104,18,,,,False
633,38108,21,,,,False
634,38109,18,,,,False
635,38112,24,,,,False
636,38113,18,,,,False
637,38114,12,,,,False
638,38116,24,,,,False
639,38117,18,,,,False
640,38118,18,,,,False
641,38119,14,14.0,18.0,4.0,4.0
642,38125,24,,,,False
643,38127,21,,,,False
644,38128,18,,,,False
645,38129,18,,,,False
646,38136,24,,,,False
647,38137,18,,,,False
648,38141,18,18.0,19.0,1.0,1.0
649,38143,18,,,,False
650,38148,18,,,,False
651,38150,18,,,,False
652,38152,18,,,,False
653,38153,18,,,,False
654,38154,24,,,,False
655,38155,24,,,,False
656,38156,21,21.0,31.5,10.5,10.5
657,38158,18,,,,False
658,38159,24,24.0,28.0,4.0,4.0
659,38160,12,,,,False
660,38161,12,,,,False
661,38162,18,,,,False
662,38166,24,24.0,31.5,7.5,7.5
663,38171,21,,,,False
664,38174,21,,,,False
665,38176,14,,,,False
666,38178,21,21.0,23.0,2.0,2.0
667,38181,18,18.0,21.0,3.0,3.0
668,38183,24,,,,False
669,38189,18,,,,False
670,38191,7,,,,False
671,38193,24,,,,False
672,38194,24,,,,False
673,38195,18,,,,False
674,38202,24,,,,False
675,38203,24,,,,False
676,38204,24,,,,False
677,38205,18,,,,False
678,38210,24,,,,False
679,38212,21,,,,False
680,38214,24,,,,False
681,38215,24,,,,False
682,38225,24,,,,False
683,38227,24,,,,False
684,38229,21,,,,False
685,38233,18,,,,False
686,38235,18,,,,False
687,38236,18,,,,False
688,38239,24,,,,False
689,38245,24,24.0,28.5,4.5,4.5
690,38249,18,,,,False
691,38250,14,,,,False
692,38251,18,,,,False
693,38252,7,,,,False
694,38254,18,,,,False
695,38255,24,,,,False
696,38256,18,,,,False
697,38261,18,,,,False
698,38262,24,,,,False
699,38263,18,18.0,34.5,16.5,16.5
700,38271,21,21.0,24.5,3.5,3.5
701,38272,12,,,,False
702,38274,21,,,,False
703,38275,12,,,,False
704,38276,12,12.0,14.0,2.0,2.0
705,38282,18,,,,False
706,38284,12,,,,False
707,38285,18,,,,False
708,38286,21,,,,False
709,38288,18,,,,False
710,38290,24,,,,False
711,38292,12,,,,False
712,38293,21,,,,False
713,38295,24,,,,False
714,38298,24,,,,False
715,38299,24,,,,False
716,38309,18,,,,False
717,38310,21,,,,False
718,38312,18,,,,False
719,38313,18,,,,False
720,38320,24,,,,False
721,38321,24,24.0,36.0,12.0,12.0
722,38334,18,,,,False
723,38337,21,,,,False
724,38338,18,,,,False
725,38339,12,12.0,28.0,16.0,16.0
726,38342,24,,,,False
727,38345,12,,,,False
728,38347,18,,,,False
729,38348,12,,,,False
730,38350,18,18.0,23.0,5.0,5.0
731,38351,18,18.0,22.0,4.0,4.0
732,38356,18,,,,False
733,38360,18,,,,False
734,38362,12,,,,False
735,38364,18,,,,False
736,38370,24,,,,False
737,38375,18,,,,False
738,38376,18,,,,False
739,38383,18,,,,False
740,38385,24,,,,False
741,38389,18,,,,False
742,38390,21,,,,False
743,38395,24,,,,False
744,38397,21,,,,False
745,38401,24,,,,False
746,38405,18,,,,False
747,38407,12,,,,False
748,38410,12,,,,False
749,38412,18,,,,False
750,38418,18,,,,False
751,38425,21,,,,False
752,38428,18,,,,False
753,38430,18,,,,False
754,38433,21,,,,False
755,38439,18,,,,False
756,38443,18,18.0,28.5,10.5,10.5
757,38444,24,,,,False
758,38456,21,,,,False
759,38466,18,,,,False
760,38469,24,24.0,26.0,2.0,2.0
761,38475,12,,,,False
762,38476,24,,,,False
763,38484,24,,,,False
764,38485,18,,,,False
765,38488,18,,,,False
766,38494,24,,,,False
767,38499,21,,,,False
768,38505,7,,,,False
769,38507,14,,,,False
770,38516,18,,,,False
771,38521,24,,,,False
772,38528,18,,,,False
773,38532,18,,,,False
774,38540,18,,,,False
775,38545,18,,,,False
776,38551,18,18.0,20.5,2.5,2.5
777,38555,18,,,,False
778,38557,18,,,,False
779,38562,12,,,,False
780,38567,18,18.0,22.5,4.5,4.5
781,38573,21,,,,False
782,38574,21,,,,False
783,38575,24,,,,False
784,38576,18,,,,False
785,38577,21,,,,False
786,38578,18,,,,False
787,38583,21,,,,False
788,38595,18,,,,False
789,38597,12,,,,False
790,38601,24,,,,False
791,38602,18,18.0,23.0,5.0,5.0
792,38610,12,,,,False
793,38620,21,,,,False
794,38630,18,,,,False
795,38631,24,,,,False
796,38634,18,18.0,21.0,3.0,3.0
797,38653,12,,,,False
798,38656,18,,,,False
799,38657,18,,,,False
800,38668,18,18.0,23.5,5.5,5.5
801,38669,24,,,,False
802,38670,21,,,,False
803,38674,18,,,,False
804,38676,18,,,,False
805,38680,18,,,,False
806,38687,24,,,,False
807,38693,24,,,,False
808,38696,18,,,,False
809,38698,24,,,,False
810,38700,12,,,,False
811,38704,18,,,,False
812,38705,24,,,,False
813,38711,12,,,,False
814,38719,24,24.0,29.0,5.0,5.0
815,38722,7,7.0,14.0,7.0,7.0
816,38725,24,,,,False
817,38735,18,,,,False
818,38750,18,,,,False
819,38757,7,,,,False
820,38759,14,,,,False
821,38763,14,14.0,17.0,3.0,3.0
822,38764,18,18.0,22.0,4.0,4.0
823,38765,14,14.0,17.0,3.0,3.0
824,38772,21,,,,False
825,38774,12,,,,False
826,38776,24,,,,False
827,38780,18,,,,False
828,38793,12,,,,False
829,38794,12,,,,False
830,38796,18,,,,False
831,38810,24,,,,False
832,38819,18,,,,False
833,38831,12,12.0,21.0,9.0,9.0
834,38836,24,,,,False
835,38838,12,12.0,18.0,6.0,6.0
836,38858,12,,,,False
837,38860,12,,,,False
838,38876,24,,,,False
839,38908,18,,,,False
840,38945,21,,,,False
841,38947,24,,,,False
842,38966,24,,,,False
843,38985,7,7.0,16.0,9.0,9.0
844,39397,21,,,,False
845,39606,12,,,,False
846,39798,21,21.0,22.5,1.5,1.5
847,40464,7,,,,False
848,40474,24,,,,False
849,40490,21,,,,False
850,40508,7,,,,False
851,41441,12,,,,False
852,41546,18,,,,False
853,42007,24,,,,False
854,42009,12,,,,False
855,42015,7,7.0,8.0,1.0,1.0
856,42079,7,7.0,18.0,11.0,11.0
857,42080,14,,,,False
858,42081,14,,,,False
859,42502,7,,,,False
860,42815,18,,,,False
861,42816,18,,,,False
862,42819,18,,,,False
863,42889,7,7.0,10.0,3.0,3.0
864,42908,7,7.0,8.0,1.0,1.0
865,43345,7,,,,False
866,43348,7,,,,False
867,43349,12,12.0,14.0,2.0,2.0
868,43359,7,,,,False
869,43360,7,7.0,13.0,6.0,6.0
870,43434,12,12.0,15.0,3.0,3.0
871,43444,7,7.0,11.0,4.0,4.0
872,43451,18,,,,False
873,43608,7,7.0,9.0,2.0,2.0
874,43613,7,,,,False
875,43662,7,,,,False
876,43666,7,,,,False
877,43967,7,,,,False
878,44079,18,,,,False
879,44080,14,14.0,21.0,7.0,7.0
880,44088,12,,,,False
881,44094,14,,,,False
882,44293,7,,,,False
883,44547,7,,,,False
884,44549,7,7.0,8.0,1.0,1.0
885,44580,7,7.0,13.0,6.0,6.0
886,44586,7,,,,False
887,44678,12,,,,False
888,44684,18,,,,False
889,44875,7,,,,False
890,44920,12,,,,False
891,44928,12,,,,False
892,44970,12,,,,False
893,44981,24,,,,False
894,45011,14,,,,False
895,45146,7,,,,False
896,45224,18,,,,False
897,47712,7,,,,False
898,47765,24,24.0,24.5,0.5,0.5
899,48300,14,,,,False
900,48303,12,,,,False
901,48317,7,,,,False
902,48438,18,,,,False
903,48596,7,,,,False
904,48812,7,,,,False
905,48819,7,,,,False
906,48821,7,,,,False
907,48951,14,,,,False
908,49013,7,7.0,12.0,5.0,5.0
909,49034,7,7.0,11.0,4.0,4.0
910,49188,7,7.0,13.0,6.0,6.0
911,49240,7,,,,False
